,LandValue,BuildValue,TotalValue,SchoolDist,CityName,YearBuilt,SqMeters,LandUse,avgAge,density,buildCover,pvmnt,treecover,parkDist,water
80,83800.0,254700.0,338500.0,001,MINNEAPOLIS,1900,9297.30531158,RESIDENTIAL,28.8,26125.578150011683,0,0,0,189.73666381835938,0
81,94200.0,149900.0,244100.0,0623,ROSEVILLE,1956,11961.58,Res 1 unit,33.9,3671.2441053878624,0,0,0,54.0,900
82,48000.0,153000.0,201000.0,281,PLYMOUTH,1978,1983.99130047,TOWNHOUSE,43.5,2711.7191341074335,71,121,504,309.7418212890625,8
83,98600.0,319400.0,418000.0,0621,ARDEN HILLS,1980,17358.66,Res 1 unit,46.8,1970.189511504093,62,125,157,25.455842971801758,0
84,91000.0,136000.0,227000.0,284,PLYMOUTH,1974,5999.93062123,TOWNHOUSE,51.5,4235.434405724816,75,208,289,456.0,63
85,72000.0,170500.0,242500.0,279,MAPLE GROVE,1964,18420.7084504,RESIDENTIAL,43.5,4197.2023739571005,65,85,641,362.49139404296875,0
86,148200.0,205100.0,353300.0,271,BLOOMINGTON,1978,11199.7382678,RESIDENTIAL,77.2,1138.137966610706,71,442,50,204.35263061523438,6
87,127400.0,170100.0,297500.0,271,BLOOMINGTON,1966,13511.22479438,RESIDENTIAL,33.4,5540.599697200823,0,0,0,89.1964111328125,0
88,12800.0,79000.0,91800.0,283,ST. LOUIS PARK,1970,584785.77606712,CONDOMINIUM,35.6,4045.126472126698,57,115,513,114.0,0
89,91000.0,378500.0,469500.0,001,MINNEAPOLIS,1922,6749.07292314,CONDOMINIUM,39.4,2015.507558986095,86,540,98,180.0,0
90,83500.0,149000.0,232500.0,272,EDEN PRAIRIE,1997,20357.16084019,CONDOMINIUM,34.1,7516.929280451447,3,44,194,231.6031036376953,0
91,91700.0,428300.0,520000.0,001,MINNEAPOLIS,1928,5604.54186649,RESIDENTIAL,37.5,7720.806967624587,0,0,0,381.365966796875,0
92,236000.0,168100.0,404100.0,284,MINNETONKA,1982,105254.21900929,RESIDENTIAL,35.9,2134.381202632811,82,345,95,708.0,18
93,122700.0,364100.0,486800.0,0621,SHOREVIEW,1983,14248.48,Res 1 unit,39.7,2659.3626680620664,162,214,383,244.311279296875,0
94,90300.0,136600.0,226900.0,0623,ROSEVILLE,1954,16727.04,Res 1 unit,57.5,1824.3161988644204,185,324,174,78.0,36
95,516100.0,175900.0,692000.0,001,MINNEAPOLIS,1952,11096.29905533,RESIDENTIAL,43.0,5526.570524725734,42,189,372,30.0,17
96,91400.0,67000.0,158400.0,283,ST. LOUIS PARK,1952,4969.68806892,RESIDENTIAL,41.5,3431.036060809853,87,212,363,254.9117431640625,0
97,1000.0,425900.0,426900.0,0625,ST PAUL,1910,,Res 1 unit,39.1,27003.85470038121,34,54,666,46.86149978637695,0
98,120100.0,188200.0,308300.0,0625,ST PAUL,1954,7318.08,Res 1 unit,32.6,7851.962629957956,0,26,240,692.9155883789062,0
99,16500.0,119200.0,135700.0,280,EDINA,1977,387043.87485456,COOPERATIVE HOUSING,54.1,15028.619867137651,0,0,0,204.0,0
101,112000.0,335000.0,447000.0,277,MINNETRISTA,2016,14132.14266868,RESIDENTIAL,49.6,368.70521177115427,15,86,154,257.7207946777344,13
102,144000.0,109200.0,253200.0,0624,WHITE BEAR LAKE,1905,29342.02,Res 1 unit,40.1,4217.969878859251,61,102,311,201.6928253173828,81
103,48800.0,235200.0,284000.0,001,MINNEAPOLIS,1908,7446.33845699,RESIDENTIAL,35.3,6960.626447462972,152,130,396,256.53070068359375,0
104,19700.0,416300.0,436000.0,001,MINNEAPOLIS,1983,1648.76033265,TOWNHOUSE,44.6,7441.348223471129,115,159,359,289.55828857421875,33
105,92200.0,140400.0,232600.0,271,BLOOMINGTON,1980,343285.2937387,CONDOMINIUM,57.1,3217.8616511092014,0,1,36,118.7939453125,0
106,179000.0,344800.0,523800.0,272,EDEN PRAIRIE,1989,25421.94504658,RESIDENTIAL,41.1,3169.7043395125197,0,0,44,21.63330841064453,1
107,37000.0,231900.0,268900.0,271,BLOOMINGTON,1975,1799.99783639,TOWNHOUSE,47.3,2930.8144406754172,0,0,0,432.83251953125,0
108,45000.0,147000.0,192000.0,284,PLYMOUTH,1992,93825.75749293,CONDOMINIUM,28.4,5318.231894019308,147,176,344,222.0,14
109,39200.0,230800.0,270000.0,001,MINNEAPOLIS,1905,4986.35925889,RESIDENTIAL-TWO UNIT,36.9,9671.364172959404,135,170,468,364.47222900390625,0
110,178000.0,430000.0,608000.0,276,DEEPHAVEN,1990,19715.74948983,RESIDENTIAL,41.2,2330.7867669082816,46,429,72,198.36331176757812,32
111,168600.0,194700.0,363300.0,0624,WHITE BEAR TOWN,1978,22468.25,Res 1 unit,51.0,927.5125817555627,0,0,57,51.61395263671875,0
112,22000.0,166800.0,188800.0,271,BLOOMINGTON,1979,1091566.39265686,COOPERATIVE HOUSING,77.2,1138.137966610706,75,430,69,248.6201934814453,2
113,125000.0,283500.0,408500.0,001,MINNEAPOLIS,1912,5420.06533907,RESIDENTIAL,53.3,17908.387876494075,57,216,321,240.0,0
114,181700.0,247100.0,428800.0,283,ST. LOUIS PARK,1942,6249.99081844,RESIDENTIAL,29.9,3930.630864299988,52,150,256,250.63919067382812,0
115,126100.0,167300.0,293400.0,272,EDEN PRAIRIE,1979,13508.01776401,RESIDENTIAL,47.5,1859.8216007045598,0,1,37,42.42640686035156,0
116,79100.0,186300.0,265400.0,0621,SHOREVIEW,1983,8668.44,Res 1 unit,39.3,2783.4912234536087,98,216,259,144.0,0
117,22000.0,39000.0,61000.0,281,NEW HOPE,1979,162226.73571869,CONDOMINIUM,41.1,7913.673484425442,74,248,444,236.44871520996094,0
118,53000.0,168800.0,221800.0,279,BROOKLYN PARK,1978,14563.9187046,RESIDENTIAL,31.0,10890.764984817317,53,251,399,192.09371948242188,0
119,63000.0,361600.0,424600.0,011,DAYTON,2018,20506.18705763,RESIDENTIAL,36.6,205.7765807469572,175,452,44,36.0,47
120,184000.0,106200.0,290200.0,276,MINNETONKA,1951,19266.21010187,RESIDENTIAL,48.3,1973.333961863146,2,6,175,193.4941864013672,18
121,25100.0,238900.0,264000.0,0625,ST PAUL,1924,9016.92,Res 1 unit,35.2,7399.657158059299,4,0,132,270.0,478
122,146900.0,246400.0,393300.0,0625,ST PAUL,1911,5052.96,Res 1 unit,41.3,8622.481084203646,98,288,278,393.6292724609375,0
123,459000.0,431300.0,890300.0,273,EDINA,1947,23788.7867588,RESIDENTIAL,47.3,1860.7374825008023,124,215,216,40.24922180175781,0
124,30200.0,324300.0,354500.0,001,MINNEAPOLIS,2002,25794.89472045,CONDOMINIUM,34.1,13313.627830533704,0,0,0,296.1958923339844,0
125,95000.0,196400.0,291400.0,0625,ST PAUL,1911,6751.8,Res 1 unit,32.6,7851.962629957956,0,26,344,632.167724609375,0
126,437500.0,2106000.0,2543500.0,284,WAYZATA,2016,81586.74305682,CONDOMINIUM,61.7,4727.728494710983,4,19,12,231.6031036376953,0
127,6400.0,148100.0,154500.0,001,MINNEAPOLIS,1939,5065.42057052,RESIDENTIAL,21.4,14775.67347919875,162,288,108,282.0,0
128,110400.0,208300.0,318700.0,0621,SHOREVIEW,1963,15010.78,Res 1 unit,45.1,3308.567622678304,162,302,253,312.0,0
130,51500.0,184800.0,236300.0,0622,MAPLEWOOD,1959,10049.29,Res 1 unit,48.5,3134.3865851499163,40,315,250,214.83016967773438,0
131,58000.0,161400.0,219400.0,279,BROOKLYN PARK,1976,16962.23989445,RESIDENTIAL,29.3,7075.175804370386,155,198,394,327.5362548828125,0
132,36400.0,154400.0,190800.0,0625,ST PAUL,1960,12932.96,Res 1 unit,34.2,6592.779162245255,5,148,167,595.78515625,499
133,430500.0,1338400.0,1768900.0,273,EDINA,2011,13098.42946387,RESIDENTIAL,38.5,3716.060692470906,113,222,185,531.2965087890625,21
134,113100.0,106500.0,219600.0,271,BLOOMINGTON,1925,15361.97308282,RESIDENTIAL,43.2,2335.7498280699933,0,0,0,463.5169677734375,0
135,1000.0,294600.0,295600.0,0625,ST PAUL,2006,,Res 1 unit,30.3,8882.271489613808,90,177,497,258.4879150390625,0
136,42200.0,221800.0,264000.0,001,MINNEAPOLIS,1945,5157.38490773,RESIDENTIAL,35.6,6161.218233695987,0,0,0,123.69316864013672,0
137,144600.0,316600.0,461200.0,272,EDEN PRAIRIE,2000,11569.16440084,RESIDENTIAL,41.7,1805.646665147269,0,0,0,378.7611389160156,900
139,138000.0,371600.0,509600.0,284,CORCORAN,2015,10877.89709206,RESIDENTIAL,43.7,165.5820656398427,0,0,0,108.16653442382812,900
140,32400.0,212600.0,245000.0,001,MINNEAPOLIS,1915,5100.62358704,RESIDENTIAL,41.5,8913.97303550012,0,0,0,654.0,0
141,10100.0,83100.0,93200.0,0625,ST PAUL,1870,4961.48,Res 1 unit,28.3,5571.892390028476,0,10,0,429.3250732421875,889
143,54400.0,205300.0,259700.0,283,ST. LOUIS PARK,2006,49668.56399971,CONDOMINIUM,44.3,7290.474356228732,136,342,184,151.4331512451172,0
144,49300.0,218200.0,267500.0,001,MINNEAPOLIS,1945,5147.53930798,RESIDENTIAL,38.3,6389.621682651564,0,0,0,87.36132049560547,0
145,18000.0,136500.0,154500.0,001,MINNEAPOLIS,1951,6493.24692133,RESIDENTIAL,20.8,6630.386229218233,104,492,67,84.0,0
146,43000.0,272000.0,315000.0,001,MINNEAPOLIS,1911,7689.25194529,RESIDENTIAL,44.6,7917.5639564292405,0,0,0,404.49969482421875,0
147,35300.0,322200.0,357500.0,001,MINNEAPOLIS,1970,7778.34648523,RESIDENTIAL,35.4,10476.941399608271,0,0,0,260.49951171875,0
148,62000.0,156000.0,218000.0,281,NEW HOPE,1960,9751.97890661,RESIDENTIAL,29.1,5359.2616734302765,38,79,377,218.40330505371094,0
149,44000.0,174800.0,218800.0,279,BROOKLYN PARK,1999,3272.50089001,TOWNHOUSE,35.9,3654.7610623654323,0,0,0,144.0,900
150,39500.0,297500.0,337000.0,001,MINNEAPOLIS,1932,5142.53798203,RESIDENTIAL,44.6,7917.5639564292405,0,4,19,522.5513916015625,0
151,277600.0,397900.0,675500.0,273,ST. LOUIS PARK,1925,8128.71064234,RESIDENTIAL,45.5,4043.86199750892,88,265,233,150.47923278808594,0
152,50000.0,347000.0,397000.0,728,ROGERS,2013,13351.70648284,RESIDENTIAL,34.9,1248.6110199258374,0,0,0,279.1128845214844,0
153,116000.0,254000.0,370000.0,284,PLYMOUTH,1960,22122.8670492,RESIDENTIAL,44.6,1621.7899242337323,15,9,90,550.236328125,755
154,162400.0,252500.0,414900.0,0621,SHOREVIEW,1964,52498.51,Res 1 unit,49.6,2513.012536119095,115,580,107,72.49827575683594,0
155,19700.0,148800.0,168500.0,001,MINNEAPOLIS,1988,7491.27771723,RESIDENTIAL,29.3,10145.97889954259,115,618,15,360.199951171875,0
156,138200.0,292400.0,430600.0,0625,ST PAUL,1922,6141.96,Res 1 unit,30.5,6750.3859099898,0,302,102,336.4818115234375,19
157,113000.0,333000.0,446000.0,284,PLYMOUTH,1971,16879.50628163,RESIDENTIAL,37.1,3118.954563031714,46,137,250,12.0,51
158,50000.0,159000.0,209000.0,279,BROOKLYN CENTER,1960,10161.50630859,RESIDENTIAL,29.9,2977.64269773825,60,294,392,195.43795776367188,0
159,10400.0,365600.0,376000.0,001,MINNEAPOLIS,1989,69442.98481615,CONDOMINIUM,33.7,19088.413578346404,0,0,0,37.94733428955078,0
160,78300.0,243700.0,322000.0,001,MINNEAPOLIS,1958,7329.54621361,RESIDENTIAL,39.9,6475.617114339626,0,0,2,441.27545166015625,0
161,72000.0,125000.0,197000.0,281,ROBBINSDALE,1956,7645.24043025,RESIDENTIAL,40.1,4630.819825015301,85,85,239,183.17205810546875,0
162,99800.0,183800.0,283600.0,0624,WHITE BEAR TOWN,1983,18499.93,Res 1 unit,40.8,3185.171523853622,0,132,252,114.0,322
163,142000.0,247000.0,389000.0,282,ST. ANTHONY,1966,10390.52279202,RESIDENTIAL,38.7,4061.476959752377,151,547,57,143.12232971191406,4
164,20800.0,272700.0,293500.0,0625,ST PAUL,1921,6534.0,Res 1 unit,30.6,6884.12703181019,18,193,241,126.0,0
165,37500.0,217500.0,255000.0,001,MINNEAPOLIS,1946,5116.92122219,RESIDENTIAL,44.6,7917.5639564292405,0,0,0,264.0,0
166,7400.0,123100.0,130500.0,001,MINNEAPOLIS,1980,8119.04371488,RESIDENTIAL,39.2,9926.717834194973,175,229,325,534.0,0
167,97800.0,175100.0,272900.0,283,ST. LOUIS PARK,1950,4843.09620741,RESIDENTIAL,36.4,5077.890049617148,93,186,404,378.3807678222656,0
168,5400.0,114100.0,119500.0,001,MINNEAPOLIS,2003,4913.88879241,RESIDENTIAL,27.6,12806.345128612134,98,670,15,348.0,8
169,11800.0,251200.0,263000.0,001,MINNEAPOLIS,1986,529544.25542232,COOPERATIVE HOUSING,67.1,5630.986202351469,72,185,441,93.33808898925781,0
170,155000.0,429000.0,584000.0,279,PLYMOUTH,2013,18313.94,RESIDENTIAL,34.7,3498.303094398041,13,263,460,193.21490478515625,0
171,42000.0,167000.0,209000.0,279,PLYMOUTH,2002,50261.21831497,CONDOMINIUM,34.7,3498.303094398041,131,337,268,443.2696838378906,4
172,194000.0,395900.0,589900.0,276,MINNETONKA,1968,31574.05196113,RESIDENTIAL,47.2,1842.9406364127444,1,83,167,426.380126953125,60
173,275000.0,805000.0,1080000.0,284,PLYMOUTH,2017,14218.91459646,RESIDENTIAL,35.7,1707.2033277099677,28,40,399,343.6277160644531,297
174,45000.0,158800.0,203800.0,279,BROOKLYN PARK,1997,4759.99663275,TOWNHOUSE,59.6,2377.0445029310904,158,166,418,311.5381164550781,0
175,79000.0,127000.0,206000.0,281,NEW HOPE,1964,9720.36370637,RESIDENTIAL,46.4,3869.1110458483117,157,318,263,328.2499084472656,0
176,58000.0,160600.0,218600.0,279,BROOKLYN PARK,1979,11024.3123791,RESIDENTIAL,32.0,4331.267994282236,84,200,412,72.0,0
177,51300.0,55800.0,107100.0,271,BLOOMINGTON,1984,38559.003673,CONDOMINIUM,50.5,1128.6242850649899,0,0,0,190.96597290039062,0
178,106400.0,213300.0,319700.0,0624,WHITE BEAR LAKE,1954,23866.52,Res 1 unit,42.7,2895.9980476264172,5,217,433,18.97366714477539,0
179,75000.0,313000.0,388000.0,276,SHOREWOOD,1993,11150.69772519,TOWNHOUSE,45.3,1995.7410369540564,31,56,429,418.6693115234375,15
180,95000.0,207500.0,302500.0,0623,ROSEVILLE,1954,10541.52,Res 1 unit,42.5,3306.314381315104,96,406,222,96.0,32
181,41200.0,206300.0,247500.0,001,MINNEAPOLIS,1900,7751.59224371,RESIDENTIAL-TWO UNIT,33.1,1003.8678743365105,147,207,342,131.04197692871094,0
182,10200.0,141800.0,152000.0,0625,ST PAUL,1906,5227.2,Res 1 unit,28.3,12348.53632644566,60,148,268,380.4681396484375,0
183,20000.0,72700.0,92700.0,273,EDINA,1971,177767.44351264,CONDOMINIUM,33.6,4748.3857805099005,0,0,0,377.6188659667969,0
184,68000.0,221100.0,289100.0,279,BROOKLYN PARK,1986,16629.93463396,RESIDENTIAL,59.6,2377.0445029310904,129,160,417,252.0714111328125,0
185,184000.0,155800.0,339800.0,270,MINNETONKA,1954,17679.50233245,RESIDENTIAL,42.9,2299.5677642808323,300,563,11,184.83505249023438,0
186,152400.0,267600.0,420000.0,001,MINNEAPOLIS,1922,5222.00462742,RESIDENTIAL-TWO UNIT,39.0,11980.241393651819,8,3,82,601.0191040039062,0
187,201200.0,264000.0,465200.0,283,ST. LOUIS PARK,1969,8757.27580872,RESIDENTIAL,43.8,2542.9548319917258,89,450,175,81.60882568359375,0
188,190000.0,144000.0,334000.0,278,ORONO,1905,69092.64899879,RESIDENTIAL,45.9,297.88967619782244,0,34,274,69.97142028808594,16
189,145700.0,217700.0,363400.0,272,EDEN PRAIRIE,1995,2763.64267157,TOWNHOUSE,46.6,2191.474214720569,0,16,54,30.0,0
190,10700.0,180300.0,191000.0,001,MINNEAPOLIS,1900,12824.71218657,CONDOMINIUM,40.9,21788.893121685538,0,0,0,224.8999786376953,0
